P_NAME,P_MASS,P_RADIUS,P_GRAVITY,P_DISTANCE,P_FLUX,P_TEMP_EQUIL,P_TYPE_TEMP,P_HABITABLE,P_ESI
11 Com b,6165.8633,,,1.3244178,101.01141,799.44963,Hot,0,0.083813263
11 UMi b,4684.7848,,,1.534896,107.35118,819.07569,Hot,0,0.082414476
14 And b,1525.5744,,,0.83,84.446427,772.30746,Hot,0,0.081917127
14 Her b,1481.0785,,,3.1305585,0.078886561,131.38424,Cold,0,0.14524062
16 Cyg B b,565.73385,,,2.043792,0.61897215,202.22783,Warm,0,0.36862709
18 Del b,3273.6284,,,2.60832,5.9039479,396.65045,Hot,0,0.21617437
1RXS J160929.1-210524 b,2542.624,,,330,,,,0,
24 Boo b,289.22348,,,0.19016758,1611.9403,1613.7579,Hot,0,0.065684936
24 Sex b,632.47773,,,1.3383987,8.2108078,430.60546,Hot,0,0.17730446
24 Sex c,273.33208,,,2.167464,3.5093722,343.04216,Hot,0,0.2724776
2MASS J01225093-2439505 b,7786.7861,,,52,,,,0,
2MASS J02192210-3925225 b,4417.8092,16.1424,16.953944,156,2.54E-07,5.7216666,Cold,0,0.056530021
2MASS J04414489+2301513 b,2383.71,,,15,,,,0,
2MASS J12073346-3932539 b,1271.312,,,46,,,,0,
2MASS J19383260+4603591 b,603.87321,,,0.92,,,,0,
2MASS J21402931+1625183 A b,6658.4967,10.3132,62.602158,3.2908045,3.69E-05,19.598998,Cold,0,0.084157251
2MASS J22362452+4751425 b,3972.85,,,230,,,,0,
30 Ari B b,4392.383,,,1.0316295,3.050856,331.24213,Hot,0,0.30089651
4 UMa b,2256.5788,,,0.95118144,163.55514,877.01545,Hot,0,0.076992961
42 Dra b,1233.1727,,,1.275918,103.29647,789.07763,Hot,0,0.07908401
47 UMa b,804.10485,,,2.1010752,0.37062414,198.7444,Warm,0,0.31106267
47 UMa c,171.62712,,,3.6172872,0.12666026,151.71194,Cold,0,0.17714066
47 UMa d,521.23792,,,11.74848,0.01229887,84.431345,Cold,0,0.079493064
51 Eri b,,,,13.215,,,,0,
51 Peg b,150.01482,,,0.052704453,523.21565,1218.432,Hot,0,0.065394653
55 Cnc b,263.98794,,,0.11522767,43.462522,654.14301,Hot,0,0.088599759
55 Cnc c,54.47572,,,0.24142428,9.9064859,451.95192,Hot,0,0.19669217
55 Cnc d,1232.537,,,5.5039933,0.019059008,94.654352,Cold,0,0.08875056
55 Cnc e,8.0791878,1.9057,2.2246343,0.01544,2420.6184,1787.008,Hot,0,0.2598972
55 Cnc f,44.813748,,,0.82465185,0.97582251,248.65483,Warm,0,0.45748768
6 Lyn b,638.83429,,,2.1156221,3.244106,341.57316,Hot,0,0.28576359
61 Vir b,5.085248,,,0.050562447,319.27036,1074.0012,Hot,0,0.25355145
61 Vir c,18.116196,,,0.2196315,17.0535,515.80897,Hot,0,0.22814035
61 Vir d,22.883616,,,0.505155,3.7635373,346.34605,Hot,0,0.37195088
7 CMa b,781.85689,,,1.976706,0.68781196,229.87309,Warm,0,0.37834721
70 Vir b,2357.0125,,,0.51924947,13.753258,475.14878,Hot,0,0.14126541
75 Cet b,953.48401,,,2.1143734,12.438138,477.2133,Hot,0,0.14524422
8 UMi b,416.35468,,,0.490882,218.9002,979.29341,Hot,0,0.070820113
81 Cet b,1684.4884,,,2.553045,9.2926133,441.22513,Hot,0,0.16929368
91 Aqr b,1017.0496,,,0.70025515,104.81969,815.07247,Hot,0,0.078414548
AB Pic b,4290.678,,,260,,,,0,
BD+03 2562 b,2034.0992,,,1.326,159.23206,898.12947,Hot,0,0.076881824
BD+14 4559 b,330.54112,,,0.812799,0.63701048,223.9117,Warm,0,0.3690268
BD+15 2375 b,337.21551,,,0.57600029,101.0481,807.74977,Hot,0,0.075857
BD+15 2940 b,352.78908,,,0.5572182,365.14163,1099.2378,Hot,0,0.068451851
BD+20 2457 b,17668.059,,,1.0618125,1364.0917,1541.7216,Hot,0,0.077113291
BD+20 2457 c,3963.3152,,,2.042562,374.14548,1113.6017,Hot,0,0.074902725
BD+20 274 b,1334.8776,,,1.328665,55.277069,688.84477,Hot,0,0.087983596
BD+20 594 b,22.24796,2.5783,3.3467502,0.27908623,14.830572,499.95899,Hot,0,0.30796205
BD+48 738 b,289.22348,,,1.02,42.001782,643.64774,Hot,0,0.089639787
BD+48 740 b,540.3076,,,2.19096,21.51075,471.51405,Hot,0,0.11328601
BD+49 828 b,508.5248,,,4.45725,1.869632,290.77041,Hot,0,0.35395377
BD-06 1339 b,8.5813561,,,0.0428,59.571932,707.79148,Hot,0,0.23577592
BD-06 1339 c,54.03076,,,0.45590175,0.6065834,220.65029,Warm,0,0.41593589
